ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,17.1,17.3,29,30.1,21.7,27.1,32.4,32.6,30.2,29.9,28.6,19.1
2,21.8,14.8,26,32.8,27.1,26.9,32.5,36.2,31.3,28.9,28.9,20
3,18.2,15.8,27.8,19.7,27.1,26.2,33.2,34.1,32.5,29.5,26.6,21.5
4,14.9,14.7,16.7,18.4,27.2,26.9,31.7,31,33.5,26.2,23.1,21.5
5,13.8,14.8,23,18.4,28.8,29.4,32.3,30.4,33.5,26.8,25.2,24.2
6,15.3,16.8,19.7,23.3,31.3,29,33.2,34,34,26,30.3,23.7
7,17,21.3,13.7,23.7,32.5,25.3,35.9,35.7,33.9,25.8,31.6,19.4
8,18,19.9,14.6,21.8,27.1,26.5,36.7,38.2,31.3,28.4,31.7,20
9,19.3,24.3,14.8,22.2,22.6,27.6,34.1,37.9,31.8,28.1,24,26
10,16.2,23.7,15,28.7,24.4,27.7,34.4,36,29.9,28.7,22.2,21.5
11,16.2,17.9,20.1,24.4,30.7,29.9,33.3,32.9,28,28.7,20,20
12,16.6,14.2,24.4,30.8,33.2,31.1,32.6,32.6,32.7,32.1,20.4,15.6
13,18.4,18.8,18.6,26,29.7,31.6,36,34.3,32.7,31.7,21.8,15.8
14,20.1,20.5,19.6,22.9,30.2,32.9,35.8,33.8,35.3,23,26.4,16.1
15,17.1,20.5,24.4,20.7,31,24.7,36.1,31.8,34.1,23.1,27.4,17.9
16,20.5,20.4,28.5,27.9,24.4,25.6,32.8,34.9,33.9,23.7,23.4,19.3
17,23.9,18.2,22.8,28.2,26.9,28.3,34.9,31.1,33.2,25.8,22.8,18
18,22.2,21.1,16.5,28.2,22.6,25.5,32.9,33,30.6,25.1,24.1,17.6
19,20.3,19.2,14.6,28.5,24.8,34.2,35.5,32.8,32.1,25.6,24,15.6
20,18.3,17.5,14.8,27.8,26.3,30,35.3,34,28.7,26,26.1,15.5
21,19.4,26.5,17.3,24.3,27.6,31.9,36,34.5,27.2,26,24.2,17.7
22,20.2,26.8,17.3,27.5,29.1,32.7,34.8,34,26.7,25.6,19.8,19.7
23,17.2,24.2,20.1,31.9,25.8,33.8,35.5,33.3,26.8,24,21.2,20.8
24,20.6,18.1,19.4,31.2,30.6,34.9,33.6,35,28.1,24.4,23,23.8
25,24.1,20.3,23.5,29.9,25.5,32,33.9,31.9,29.2,24.7,22.7,22
26,21.4,27.7,28.3,22.7,25.3,31.9,35.2,32.9,28.5,25.3,22.6,17.8
27,19.1,19.7,28.8,25.2,23.9,32.7,32.6,33.4,28.3,26.8,21.1,15.9
28,12.4,20.8,17.9,31.2,24,33.4,34.7,32.5,29,26.3,20.3,21.6
29,15.5,-- ,21.8,28.6,24.7,34.4,35.5,32.4,28.6,25.3,19.1,20.9
30,20,-- ,25.3,25.5,29,33.1,36.4,32.4,29.6,24.5,18.3,23.2
31,22.9,-- ,26.9,-- ,26.9,-- ,34.4,31.4,-- ,25.7,-- ,18.8
