日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,13.4,16.9,18.7,18,26.1,26.7,33.7,34.4,30.6,26.6,25.7,21.4
2,13.7,17.1,21.5,19.2,25.6,26.2,34.2,33,27.3,25.2,29.9,21.9
3,16.9,13.2,21.1,18.3,30.6,24.1,35.1,33.5,29.7,27.7,25.5,26.7
4,16.8,16,18.6,23.1,32.3,28,33.2,32.9,32.6,27.6,25.4,25.5
5,17.6,17.9,18.1,28.9,26.1,32.1,33,32.8,31.7,29,31.1,18.3
6,22,15.2,21.9,31,23.1,29.6,35.7,33.5,32.6,26.1,27.1,14.9
7,20.9,13.7,23.3,32,22.9,31.8,34.4,30.5,30.2,23.8,28.7,20.7
8,22.8,15,26.3,29.5,30.5,30,31.8,30.9,29.8,26,25.3,20.3
9,21.5,12.5,18.9,33.9,34.7,31.1,34.2,31.1,29.3,27.3,21.7,21.2
10,25.4,14.3,18,27.2,21.7,31.2,36.1,32.4,30.2,27.2,21.3,23.4
11,25.1,13.9,22,23.9,23.2,36,34.3,30.6,30,27.6,21.3,22.8
12,27.5,11.3,26.3,23.5,23.9,30,34.1,35.8,28.6,24.9,22.7,21.1
13,15.9,11.9,26.9,20.7,24.4,31.3,32.4,35.9,28.3,26.3,22.6,22.6
14,14.6,13.1,18.1,21.7,23.9,28.5,32.7,34.8,26.7,25.5,23.3,17.8
15,15.7,14.2,20.4,29.3,24.4,33.2,32.3,35.8,29,26.6,25.4,17.2
16,14.3,16.6,23.8,27.8,24.2,31.7,31.6,33.9,32.9,28.9,23.1,20.2
17,15.9,19.1,20.8,23.5,30.7,33,30.9,34.2,32.7,28.4,22.7,20.8
18,17.5,17.8,20.6,22.9,32.5,32.6,29.1,34.4,29.7,28.3,21.8,20.1
19,20.8,16.4,20,23.9,25.9,31.8,34.8,33.7,33.1,28.2,19.2,24.3
20,23.9,16.9,20.2,27.6,26.8,31.9,34.4,34.2,32.1,28.4,18.7,22.8
21,17.5,20.2,26.1,26.5,29.9,34,36.4,36.5,30.9,29.5,20.1,22.8
22,16.8,23.3,23.9,23.7,31.4,34.9,35.1,32.2,29.7,28.8,26,17.6
23,15.6,20,18.7,21.1,31.6,33.1,31.8,32,31.8,28.3,25.5,17.1
24,13.6,17.1,20.6,20.1,32.5,35.5,34.1,31.6,33,25.3,22.7,22.6
25,16.2,22.9,24.7,22.9,33.2,32.6,34.4,35.5,33.6,29.3,21.7,19.3
26,17.9,16.2,24.9,25.8,29.1,32.3,33.3,35.9,32.1,28,22.3,18.3
27,14.5,13.2,23.6,29.9,32.8,32.2,30.9,31,26.3,24.7,21.3,23.4
28,16.4,15.6,28.4,24.3,34,36,29.6,34.6,26.1,26.7,16.4,24.6
29,21.5,15.7,24.7,22.8,35.3,32.5,29.4,33.5,27.5,29.7,18.6,19.7
30,14.7,-- ,23.3,27.8,35.3,32,33.3,32.7,24.9,28.3,19.8,17.4
31,14,-- ,16.9,-- ,24.3,-- ,35.1,35.8,-- ,31.2,-- ,15.1
