年/月,1,2,3,4,5,6,7,8,9,10,11,12
1995,415.8,442.2,276.8,244.9,322.2,123.8,60.8,121.2,317.9,157,232.7,166.6
1996,250,390.7,391.3,392.3,359.1,120.3,280,103.1,485.3,342.5,755.1,62.3
1997,181.9,456.4,314.9,221.6,261.3,436.6,141.1,380.2,193.3,193.7,101.3,321.1
1998,244.2,541.5,294.4,225.5,329.3,296.2,133.4,245.3,340.8,1440.8,658.5,688.2
1999,218.4,126,366.5,92.8,354.7,308,85.3,114.1,169.8,293.4,270.2,347.5
2000,313.4,837.8,298.2,461.6,121,355.2,245.9,289.3,54.6,861.3,1070,496.1
2001,309,220.4,227.6,179.7,419.8,185.8,116.1,69.4,1310.8,90,155.5,358.3
2002,177.1,145.5,204.5,100.5,97.9,319.5,273.2,88.6,210.9,294.8,358,336.8
2003,137.8,102,143.9,203,213.3,224.6,0,85.3,140.8,168.7,644.4,92
2004,179.5,295.8,449,221.8,231.7,134.4,190.2,374,679.8,443,195.7,491.3
2005,407.1,605,350.5,55.8,596.3,208.7,255.6,391.9,475.1,475.5,139,280.4
2006,392.9,306.6,272,341.9,494,317.7,87.8,223.9,493.4,74.5,237.1,481.7
2007,429,110.9,355.5,204,108.9,661.6,15.2,295.8,386.3,377.6,946.2,172.7
2008,474.2,466.1,150.5,215.2,340.5,145.8,181.9,27.1,852.5,327,362.9,129.9
2009,446.1,239.2,297.3,150.9,74.6,403.1,65.1,211.5,472.3,611.4,479.9,203.2
2010,322.7,368.6,111.9,222.1,180.2,321.6,5,242.6,519.7,506.3,304.3,198.6
2011,431.7,267.2,243.1,70.3,406.3,148.7,120.2,94.4,52.7,473.2,896.1,523.1
2012,533.4,545.7,247.6,389.8,351.6,391,61.9,364.5,72.5,139.1,308.3,503.4
2013,521.9,337.7,112.6,300.4,424.5,128.5,76.1,487.9,287.3,98.5,368,624.8
2014,64.9,478.6,239.8,140.5,482.1,344.5,152.6,81.2,141.4,27.5,183,237.9
2015,132.2,187.4,410,137.7,262.3,47.1,186.2,679.2,519.3,191.4,149.8,249
2016,441.2,422.2,317.1,192.9,176.2,255,125.3,112.3,531.7,814.9,313,139.6
2017,254.7,264.5,288.8,141.9,229.1,824.9,67.9,20.2,188.8,409.8,708.2,458.8
2018,541.7,360.5,69.4,108.7,52,244.5,135.8,92,558.4,403.5,261.2,578
2019,382.1,292.4,209.1,140,404.2,431.1,102.3,173.3,659.1,152.3,219,352.6
2020,189,161.7,202.7,223.8,475.7,91.7,134,212,485.4,505,277.5,936.5
2021,342,127.5,242,185.5,224,305,179,203,114,492.5,309,328
2022,461,829.5,300.5,117.5,728.5,181,31,54,412.5,1004.5,571.5,877
2023,300.5,352.5,129.5,146,182.5,135,88.5,132.5,113.5,303.5,288,371.5
2024,142.5,238,175.5,166.5,219.5,161,143,31.5,587,1272.5,471.5,293
