year,month,oni,
1995,1,0.96,1995/1/1
1995,2,0.72,1995/2/1
1995,3,0.53,1995/3/1
1995,4,0.3,1995/4/1
1995,5,0.14,1995/5/1
1995,6,-0.03,1995/6/1
1995,7,-0.24,1995/7/1
1995,8,-0.54,1995/8/1
1995,9,-0.81,1995/9/1
1995,10,-0.97,1995/10/1
1995,11,-1,1995/11/1
1995,12,-0.98,1995/12/1
1996,1,-0.9,1996/1/1
1996,2,-0.75,1996/2/1
1996,3,-0.59,1996/3/1
1996,4,-0.39,1996/4/1
1996,5,-0.31,1996/5/1
1996,6,-0.3,1996/6/1
1996,7,-0.27,1996/7/1
1996,8,-0.32,1996/8/1
1996,9,-0.35,1996/9/1
1996,10,-0.4,1996/10/1
1996,11,-0.45,1996/11/1
1996,12,-0.49,1996/12/1
1997,1,-0.5,1997/1/1
1997,2,-0.36,1997/2/1
1997,3,-0.1,1997/3/1
1997,4,0.28,1997/4/1
1997,5,0.75,1997/5/1
1997,6,1.22,1997/6/1
1997,7,1.6,1997/7/1
1997,8,1.9,1997/8/1
1997,9,2.14,1997/9/1
1997,10,2.33,1997/10/1
1997,11,2.4,1997/11/1
1997,12,2.39,1997/12/1
1998,1,2.24,1998/1/1
1998,2,1.93,1998/2/1
1998,3,1.44,1998/3/1
1998,4,0.99,1998/4/1
1998,5,0.45,1998/5/1
1998,6,-0.13,1998/6/1
1998,7,-0.78,1998/7/1
1998,8,-1.12,1998/8/1
1998,9,-1.31,1998/9/1
1998,10,-1.35,1998/10/1
1998,11,-1.48,1998/11/1
1998,12,-1.57,1998/12/1
1999,1,-1.55,1999/1/1
1999,2,-1.3,1999/2/1
1999,3,-1.07,1999/3/1
1999,4,-0.98,1999/4/1
1999,5,-1.02,1999/5/1
1999,6,-1.04,1999/6/1
1999,7,-1.1,1999/7/1
1999,8,-1.11,1999/8/1
1999,9,-1.16,1999/9/1
1999,10,-1.26,1999/10/1
1999,11,-1.46,1999/11/1
1999,12,-1.65,1999/12/1
2000,1,-1.66,2000/1/1
2000,2,-1.41,2000/2/1
2000,3,-1.07,2000/3/1
2000,4,-0.81,2000/4/1
2000,5,-0.71,2000/5/1
2000,6,-0.64,2000/6/1
2000,7,-0.55,2000/7/1
2000,8,-0.51,2000/8/1
2000,9,-0.55,2000/9/1
2000,10,-0.63,2000/10/1
2000,11,-0.75,2000/11/1
2000,12,-0.74,2000/12/1
2001,1,-0.68,2001/1/1
2001,2,-0.52,2001/2/1
2001,3,-0.44,2001/3/1
2001,4,-0.34,2001/4/1
2001,5,-0.25,2001/5/1
2001,6,-0.12,2001/6/1
2001,7,-0.08,2001/7/1
2001,8,-0.13,2001/8/1
2001,9,-0.19,2001/9/1
2001,10,-0.29,2001/10/1
2001,11,-0.35,2001/11/1
2001,12,-0.31,2001/12/1
2002,1,-0.15,2002/1/1
2002,2,0.03,2002/2/1
2002,3,0.09,2002/3/1
2002,4,0.2,2002/4/1
2002,5,0.43,2002/5/1
2002,6,0.65,2002/6/1
2002,7,0.79,2002/7/1
2002,8,0.86,2002/8/1
2002,9,1.01,2002/9/1
2002,10,1.21,2002/10/1
2002,11,1.31,2002/11/1
2002,12,1.14,2002/12/1
2003,1,0.92,2003/1/1
2003,2,0.63,2003/2/1
2003,3,0.38,2003/3/1
2003,4,-0.04,2003/4/1
2003,5,-0.26,2003/5/1
2003,6,-0.16,2003/6/1
2003,7,0.08,2003/7/1
2003,8,0.21,2003/8/1
2003,9,0.26,2003/9/1
2003,10,0.29,2003/10/1
2003,11,0.35,2003/11/1
2003,12,0.35,2003/12/1
2004,1,0.37,2004/1/1
2004,2,0.31,2004/2/1
2004,3,0.23,2004/3/1
2004,4,0.17,2004/4/1
2004,5,0.17,2004/5/1
2004,6,0.28,2004/6/1
2004,7,0.47,2004/7/1
2004,8,0.64,2004/8/1
2004,9,0.7,2004/9/1
2004,10,0.67,2004/10/1
2004,11,0.66,2004/11/1
2004,12,0.69,2004/12/1
2005,1,0.64,2005/1/1
2005,2,0.58,2005/2/1
2005,3,0.45,2005/3/1
2005,4,0.43,2005/4/1
2005,5,0.29,2005/5/1
2005,6,0.11,2005/6/1
2005,7,-0.06,2005/7/1
2005,8,-0.14,2005/8/1
2005,9,-0.11,2005/9/1
2005,10,-0.29,2005/10/1
2005,11,-0.57,2005/11/1
2005,12,-0.84,2005/12/1
2006,1,-0.85,2006/1/1
2006,2,-0.77,2006/2/1
2006,3,-0.57,2006/3/1
2006,4,-0.37,2006/4/1
2006,5,-0.14,2006/5/1
2006,6,-0.03,2006/6/1
2006,7,0.1,2006/7/1
2006,8,0.3,2006/8/1
2006,9,0.54,2006/9/1
2006,10,0.77,2006/10/1
2006,11,0.94,2006/11/1
2006,12,0.94,2006/12/1
2007,1,0.66,2007/1/1
2007,2,0.22,2007/2/1
2007,3,-0.12,2007/3/1
2007,4,-0.32,2007/4/1
2007,5,-0.38,2007/5/1
2007,6,-0.47,2007/6/1
2007,7,-0.56,2007/7/1
2007,8,-0.81,2007/8/1
2007,9,-1.07,2007/9/1
2007,10,-1.34,2007/10/1
2007,11,-1.5,2007/11/1
2007,12,-1.6,2007/12/1
2008,1,-1.64,2008/1/1
2008,2,-1.52,2008/2/1
