年月	售電量(度)				年	總額	差異	逐年差異	長期平均
11312	55568906	113	777578442		101	677532110	-0.057347268		718750486.6
11311	61769155	113	777578442		102	675518803	-0.060148389	-0.00297153	
11310	84358558	113	777578442		103	684368708	-0.047835486	0.013100901	
11309	82796989	113	777578442		104	672038252	-0.064990891	-0.01801727	
11308	91240766	113	777578442		105	715654529	-0.004307416	0.06490148	
11307	60962857	113	777578442		106	715961875	-0.003879805	0.000429461	
11306	61793727	113	777578442		107	706905166	-0.016480435	-0.012649708	
11305	52157655	113	777578442		108	705847259	-0.017952305	-0.001496533	
11304	60658927	113	777578442		109	732230966	0.018755437	0.037378777	
11303	53454455	113	777578442		110	777392243	0.081588475	0.061676273	
11302	61291621	113	777578442		111	747436775	0.039911331	-0.038533274	
11301	51524826	113	777578442		112	755291198	0.050839216	0.010508478	
11212	56170095	112	755291198		113	777578442	0.081847535	0.029508147	
11211	59610444	112	755291198						
11210	82908086	112	755291198						
11209	79633648	112	755291198						
11208	85080457	112	755291198						
11207	58682078	112	755291198						
11206	56040607	112	755291198						
11205	45238967	112	755291198						
11204	53419826	112	755291198						
11203	54530132	112	755291198						
11202	69385726	112	755291198						
11201	54591132	112	755291198						
11112	53828072	111	747436775						
11111	56101871	111	747436775						
11110	85023931	111	747436775						
11109	83766516	111	747436775						
11108	83062612	111	747436775						
11107	59526725	111	747436775						
11106	56906808	111	747436775						
11105	43265349	111	747436775						
11104	56223604	111	747436775						
11103	58484328	111	747436775						
11102	62445164	111	747436775						
11101	48801795	111	747436775						
11012	60083321	110	777392243						
11011	64586626	110	777392243						
11010	87898639	110	777392243						
11009	77408110	110	777392243						
11008	89297708	110	777392243						
11007	67423045	110	777392243						
11006	64363217	110	777392243						
11005	46136893	110	777392243						
11004	56523484	110	777392243						
11003	52750532	110	777392243						
11002	61281124	110	777392243						
11001	49639544	110	777392243						
10912	48657770	109	732230966						
10911	52244934	109	732230966						
10910	79628805	109	732230966						
10909	77771672	109	732230966						
10908	88663104	109	732230966						
10907	67627164	109	732230966						
10906	63909887	109	732230966						
10905	47551181	109	732230966						
10904	54300674	109	732230966						
10903	50322532	109	732230966						
10902	58435733	109	732230966						
10901	43117510	109	732230966						
10812	52209948	108	705847259						
10811	52979790	108	705847259						
10810	79559631	108	705847259						
10809	77381038	108	705847259						
10808	79426489	108	705847259						
10807	56007848	108	705847259						
10806	57306977	108	705847259						
10805	47443380	108	705847259						
10804	55234582	108	705847259						
10803	48228844	108	705847259						
10802	54577151	108	705847259						
10801	45491581	108	705847259						
10712	52441152	107	706905166						
10711	51721179	107	706905166						
10710	76172530	107	706905166						
10709	73761507	107	706905166						
10708	80583031	107	706905166						
10707	59907782	107	706905166						
10706	57749308	107	706905166						
10705	44742012	107	706905166						
10704	57708512	107	706905166						
10703	50496294	107	706905166						
10702	54459683	107	706905166						
10701	47162176	107	706905166						
10612	57480437	106	715961875						
10611	60100834	106	715961875						
10610	84602124	106	715961875						
10609	76012139	106	715961875						
10608	81298483	106	715961875						
10607	57389186	106	715961875						
10606	53846316	106	715961875						
10605	46291028	106	715961875						
10604	54029033	106	715961875						
10603	46655845	106	715961875						
10602	53980682	106	715961875						
10601	44275768	106	715961875						
10512	56348481	105	715654529						
10511	55427818	105	715654529						
10510	76200851	105	715654529						
10509	75158596	105	715654529						
10508	85156702	105	715654529						
10507	61830370	105	715654529						
10506	58410296	105	715654529						
10505	47697430	105	715654529						
10504	55964107	105	715654529						
10503	47780072	105	715654529						
10502	51893036	105	715654529						
10501	43786770	105	715654529						
10412	50263411	104	672038252						
10411	49776436	104	672038252						
10410	66940337	104	672038252						
10409	66126453	104	672038252						
10408	84088863	104	672038252						
10407	62107333	104	672038252						
10406	53906376	104	672038252						
10405	45110207	104	672038252						
10404	53593409	104	672038252						
10403	44942247	104	672038252						
10402	51344901	104	672038252						
10401	43838279	104	672038252						
10312	48712681	103	684368708						
10311	54024266	103	684368708						
10310	77698981	103	684368708						
10309	75410068	103	684368708						
10308	80089123	103	684368708						
10307	53836378	103	684368708						
10306	54696159	103	684368708						
10305	43744162	103	684368708						
10304	50693935	103	684368708						
10303	44596247	103	684368708						
10302	55804073	103	684368708						
10301	45062635	103	684368708						
10212	50719318	102	675518803						
10211	49735537	102	675518803						
10210	72011613	102	675518803						
10209	70401403	102	675518803						
10208	80967847	102	675518803						
10207	58288395	102	675518803						
10206	55767236	102	675518803						
10205	44297039	102	675518803						
10204	52601743	102	675518803						
10203	46126332	102	675518803						
10202	51562163	102	675518803						
10201	43040177	102	675518803						
10112	50061206	101	677532110						
10111	47442507	101	677532110						
10110	68760714	101	677532110						
10109	68653034	101	677532110						
10108	75343112	101	677532110						
10107	53334735	101	677532110						
10106	53822934	101	677532110						
10105	46152976	101	677532110						
10104	56667330	101	677532110						
10103	51810869	101	677532110						
10102	59117690	101	677532110						
10101	46365003	101	677532110						
