日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,22.3,26.2,28.2,29.5,29.8,30.3,32.4,33.3,28.6,32,28.8,24.6
2,26,21.3,26.6,29.5,31.8,25.9,32.7,34.1,28.8,31.2,26.1,25.2
3,24.2,22,29.5,29.1,31.2,31.4,32.1,29.2,30.5,31.4,28.4,24.9
4,21.8,23.8,24.5,30.6,32.3,31.7,32.9,27.7,31.1,30.4,29.4,26
5,21.2,20.4,27.7,24,32.1,31.6,32.7,26.9,31.5,27,29,27
6,19.4,21.1,29.6,24.7,32.9,32.4,32.3,30.1,32.2,28.8,29.7,27.8
7,23.4,22.4,21.9,28,32.6,27.4,33.6,32.3,31.9,31.9,29.2,24.5
8,22.7,26.2,19.7,28.4,32.6,26.6,33.7,32.5,33.1,31.3,30.3,25.3
9,23.4,28.4,21.3,26.9,29.7,29.2,32.9,32.7,31.9,27.9,30.4,27.4
10,23.8,27.5,21.4,27.7,29.9,27.5,32.8,33.1,31.3,30.2,28.7,26
11,21.1,28.1,24.8,29.8,32.6,29.8,33.4,32.2,30.9,30.6,26.6,26.9
12,21.4,24.7,25.8,29.6,32.5,29.3,33.6,32,32.2,31.6,26.2,22.4
13,24.7,25,29.6,32,33.5,30.9,33.3,32.1,31.8,31,25.7,21.4
14,24.4,26.5,26.1,31.5,32.8,31.3,32.8,33,31.1,30.4,26.6,22.1
15,22.5,27.9,28,29.1,32.2,32.3,33.4,33.2,31.8,27.5,28,21.6
16,24.6,27.7,29.5,31.2,31.4,31.5,33.6,33.4,32.7,26.4,26.9,23.5
17,22.3,26,29.8,31,29.3,31.5,33.2,33.2,32.5,28.1,28.5,23.3
18,24.6,28,25.3,32,28.5,29.9,34.1,31.3,32.6,27.4,29.9,24.6
19,25.3,27.6,25.8,32.8,29.5,31,33.1,31.8,33.4,27.6,29.9,20.8
20,22.8,22.4,26.5,31.8,30.4,29.4,32.8,30.6,32.3,29.9,30.7,19.6
21,21.6,24.3,25.2,31.7,32.3,31.2,33.5,31.2,30.9,29.4,27.9,22.6
22,25.4,28.1,22.9,31.6,32.3,31.4,31.1,32.4,29.7,27.7,23.2,24.4
23,20.4,28.2,25.8,30,30.7,31.7,31.5,30,28.1,27.4,24.6,25.3
24,22.5,27.3,25.4,30.8,32.8,32.1,33.1,29.6,29.3,26.7,28.9,25.8
25,24.5,26,26.6,30.7,32.4,32.2,33.3,29.7,31.5,27.3,26.6,26.5
26,27.3,26.3,27.3,31.3,30.1,28.6,33.7,32.3,32.1,27.8,27.8,22.5
27,26.1,27.7,29.3,30.8,29.8,32.4,32.8,32.2,31.7,28.8,25.6,19.6
28,17.8,28.5,28.6,31.2,32.7,31.9,33.5,34.1,32.1,29,27.2,22.6
29,20.7,-- ,27.4,32.2,32.1,32,33.1,33.6,31.3,28.2,24.6,25
30,22.9,-- ,30.1,30.4,31.5,32.3,32.7,33,31.3,27.9,22.2,25.8
31,24.5,-- ,30.3,-- ,30.8,-- ,33.5,32.3,-- ,27.8,-- ,26.6
