ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,23.9,23.7,28,26.2,28.5,32.7,32.6,30.4,30.2,30.8,29.3,26.4
2,22,26,29.2,28.2,26.5,32.2,29.2,32.2,31.9,31.4,29.5,24.7
3,25.7,29.2,29.4,29.2,27.3,32.2,32.1,32.5,31.1,32,29.9,21.2
4,27.7,25.2,28.5,30.5,27.7,32.4,31.8,33.7,28.4,31.8,26.7,20.8
5,29.1,27,27.4,29.6,27.5,33.2,30.7,34.1,29.8,28.8,26.3,21.7
6,27,28,28.7,29.7,24.6,33.8,32,33.3,30.5,28.6,28.2,21.1
7,27,29.9,24.5,29.4,27,33,32.1,33,30.5,30.6,27.5,21.9
8,26,27.3,24.3,29.8,29.8,33,32.3,32,31.5,30.9,27.4,22.4
9,26,28.1,30,31.7,30,33.7,32.6,32.8,30,29.9,26.6,24.2
10,29.1,26.2,26.8,30.3,28,33,33.2,31.7,28.9,30.1,26.8,26.9
11,29.8,26,25.6,31.4,31.3,31.7,32,32.5,32.3,29.9,27.3,27
12,28.7,26.5,25.9,27.4,32.3,31.8,32.5,32.7,32.7,30.5,27.5,24.5
13,25,27.7,25.6,30.6,31.7,31,32.4,31.4,32.9,29.6,28.5,26.4
14,25.1,27.5,27.5,32.1,32.4,30.5,32.8,30.7,31.4,29.2,27.1,26.9
15,25.7,28.9,25.2,27.4,30.5,30.1,33.3,32,32.3,28.5,26.9,26.5
16,23.2,28.5,25.7,31.2,31.8,29.6,33.3,29.9,30.7,28.2,27.1,28.3
17,24.1,25.9,28.4,29.6,32,33.4,33.3,28,31.7,29,30.5,29.5
18,23.4,28.1,28.6,31.2,32.5,33.5,30.8,27.9,31.4,28.7,30.3,28.9
19,25.8,30,30,32.4,31.6,33.5,30,28,30.7,29.9,24.7,28.7
20,27.7,29,30.7,33.1,32,32.5,31.3,27.6,30.9,29.1,25.5,25.8
21,23.9,29.1,29.6,32.3,27.4,32.9,31.6,29.4,29.8,29.4,28.3,29
22,23.5,28.4,30.6,31.7,28.9,33,31.6,32.4,26.1,28.9,28.3,28.5
23,23.2,25.3,25.1,31.9,27.9,32.5,31.4,33.1,29.5,30,29.3,27.3
24,25.2,27.2,26,31.4,29.5,32.5,32.8,29.8,29.8,28,29.9,28.4
25,25.4,26.9,29,31.7,29.7,30.1,32.5,30.1,29.6,28.7,27.8,27.9
26,22.1,27.8,28.2,33.1,31.5,29.7,32.8,33,31.7,28.6,27,27.2
27,22.8,29.7,29.6,31.9,29.7,30.4,32.2,32.7,29.5,29.3,27.8,23
28,24.8,29.8,29.9,32,31.4,32.7,32.3,32.5,32.3,30.5,25.9,23.4
29,24.2,-- ,29.8,33.1,30.3,32.8,32,32.4,31.1,28.7,25,24.3
30,26.3,-- ,29.2,32,32.1,33.4,32.6,31.9,29.3,29.2,24.8,26.3
31,28.4,-- ,27.8,-- ,31.9,-- ,31.9,31.7,-- ,29.6,-- ,24
