年/月,1,2,3,4,5,6,7,8,9,10,11,12
1995,14.5,31.5,1,2.5,208.5,481.5,512,341,469.5,32,4,1
1996,8,0.1,0.5,57,164.5,107.5,528.5,283,102.5,63.5,78,7.5
1997,31.5,78,50.5,17.5,89.5,830,279.5,339.5,116,15.5,7.5,11
1998,24,13,6,99,123.5,1067.5,174.3,223.5,231,522.5,96,70
1999,12,28.5,6,54,111.5,711,361,930.5,413.5,435,22,15
2000,3,28.2,18,12,49.5,217.5,823.3,449.4,116,405.2,99,106
2001,10,33.5,10.5,11.9,347,610.2,431,256.5,717.5,50.5,6.5,9.5
2002,14.5,3.5,39.5,4,171.4,147.5,306,332.5,447,11,1.5,135.5
2003,38.5,7,5.5,19,10.5,439,58,468,333,51,452,0.1
2004,9,1,3,47,78.5,129,488,261.5,383,0.5,0.1,149
2005,8.5,7,24,5,155.5,494,704.5,280.5,492,27.5,85.5,55.1
2006,20,30.7,4.1,20.8,260.3,302.5,650.7,244.6,144,4.6,4.9,2.9
2007,12.5,38,2.2,2.7,104.3,215,108.7,1170.2,198.7,46.4,240.8,0.3
2008,4.5,7.3,57.9,8.3,31.5,653,532.4,423.2,181.1,35.1,65.5,4.7
2009,29.5,9.9,13.8,38.8,2,87.4,298.6,927.2,258.6,181,3,4.5
2010,19.3,0.2,4.1,19.5,253.7,196.8,381.7,278.3,847.6,413.4,5.4,1.2
2011,12.4,18.5,5,40.3,127.4,339.4,443.2,1154.7,101.9,190.2,134.1,29.9
2012,0,76.8,3,39.7,449,802.8,346,1083.3,74.9,5,36.5,25.2
2013,37.1,13.5,3.5,79.5,287.5,183.5,239,597.5,450.5,28,59,119.5
2014,1,12.5,61,12,40.5,323,123,426.5,427.5,47,6,9
2015,34.5,29,0.1,102.8,391.8,35.5,493.2,237.2,53.2,72.8,27.5,2.5
2016,98.5,2,18.9,64.1,75,368.5,383.8,548.5,710.5,393.5,60,0.5
2017,12.5,6.2,2.4,28,48.7,105,645.1,298,243.6,304,23,3.5
2018,34.5,35.5,14.6,8,4,488,249.5,1400.5,281,8.4,6,6
2019,28.7,20.3,44,15.5,134.7,215.5,587.5,839.6,356.5,28,2.5,14.5
2020,57.2,53,12,6,220.8,80,246.5,463.5,69.5,48,180,2
2021,2.5,20,2,0.5,4,589.5,402,835,140.5,378,20,5.5
2022,173,17,12.5,12.5,308,141,200.5,261,42,140,13.5,4.5
2023,6,6,0.5,5.5,93,290.5,469,358,299.5,260,4,0.5
2024,10.5,5,12.5,78.5,148.5,96.5,398.5,321,369.5,458.5,83,16.5
